0,1.95E-05,,
5,1.45E-05,,
10,1.28E-05,,
15,1.25E-05,,
20,1.03E-05,,
25,2.57E-06,,
30,2.12E-06,,
35,2.12E-07,,
40,8.44E-07,,
45,1.16E-07,,
50,9.31E-08,,
55,6.72E-08,,
60,2.80E-08,,
65,3.62E-08,,
70,3.00E-08,,
75,4.58E-08,,
80,2.43E-08,,
85,4.50E-08,,
90,6.00E-08,,
95,3.69E-08,,
100,8.01E-08,,
105,3.49E-08,,
110,8.88E-08,,
115,6.55E-08,,
120,3.31E-08,,
125,1.38E-07,,
130,2.52E-08,,
135,1.80E-08,,
140,3.58E-08,,
145,1.47E-08,,
150,3.31E-08,,
155,4.65E-09,,
160,1.20E-08,,
165,1.02E-07,,
170,9.31E-09,,
175,3.86E-08,,
180,1.19E-07,,
185,1.34E-07,,
190,2.38E-07,,
195,9.41E-08,,
200,4.36E-08,,
205,1.77E-07,,
210,3.70E-08,,
215,7.79E-08,,
220,4.66E-08,,
225,1.14E-07,,
230,3.74E-08,,
235,1.32E-07,,
240,5.70E-08,,
245,3.77E-07,,
250,4.77E-08,,
255,5.26E-08,,
260,4.47E-08,,
265,4.81E-08,,
270,1.02E-07,,
275,9.42E-08,,
280,8.18E-08,,
285,1.81E-08,,
290,4.92E-08,,
295,2.00E-07,,
300,2.11E-07,,
305,5.01E-07,,
310,7.09E-07,,
315,1.04E-06,,
320,3.34E-06,,
325,2.38E-06,,
330,3.49E-06,,
335,7.57E-06,,
340,9.02E-06,,
345,9.31E-06,,
350,1.21E-05,,
355,1.67E-05,,
